created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 27 20:17:58 +0000 2023;1630301232857247746;"The Event looks so dull without Ronaldo https://t.co/r8ZudkHq6c";5;36;55;863;en;1267067442884481027;1630301232857247746;the_marcoli_boy;https://twitter.com/the_marcoli_boy/status/1630301232857247746
Mon Feb 27 20:17:39 +0000 2023;1630301154738405382;"Ronaldo and wife at FIFA the best ceremony Vs Messi and wife   Difference is too clear, choose your goat wisely 🤭 https://t.co/8Y84ptm187";24;225;210;3635;en;961933019853524992;1630301154738405382;modap_;https://twitter.com/modap_/status/1630301154738405382
Mon Feb 27 20:16:31 +0000 2023;1630300869446205440;"Messi &amp  Ronaldo. Football. https://t.co/NlRiVrxLLB";0;9;60;998;en;1287288253326876673;1630300869446205440;ManagingBarca;https://twitter.com/ManagingBarca/status/1630300869446205440
Mon Feb 27 20:11:52 +0000 2023;1630299699411312640;"Image: Leo Messi and Ronaldo Nazario during The Best ceremony. https://t.co/e4AOSKQxuI";31;25;147;4664;en;885972982052597761;1630299699411312640;BarcaUniversal;https://twitter.com/BarcaUniversal/status/1630299699411312640
Mon Feb 27 20:09:28 +0000 2023;1630299096899788801;"Messi having a conversation with Ronaldo 🇦🇷🇧🇷 https://t.co/ODEWEOb8kg";28;11;360;6290;en;1370641767830233091;1630299096899788801;LeoMessiMedia;https://twitter.com/LeoMessiMedia/status/1630299096899788801
Mon Feb 27 20:03:08 +0000 2023;1630297501302419456;"Madrid should not forget what they did to Ronaldo because of Modric’s World Cup performance. Keep the same energy now 👍 Messi and Martinez deserves the Fifa best https://t.co/Yaqnndtg9U";16;88;358;4994;en;1145137598379282432;1630297501302419456;gyaigyimii;https://twitter.com/gyaigyimii/status/1630297501302419456
Mon Feb 27 19:59:06 +0000 2023;1630296487388168192;"Whose Funeral is Messi attending? Ronaldo will always be clear https://t.co/h93f9IczuX";5;82;76;1163;en;1267067442884481027;1630296487388168192;the_marcoli_boy;https://twitter.com/the_marcoli_boy/status/1630296487388168192
Mon Feb 27 19:58:27 +0000 2023;1630296324452098051;"Messi &amp  Antonella wearing black tonight in memory of Ronaldo’s career.   😭😭😭😭😭 https://t.co/KREEgsi5ZL";22;53;220;1645;en;1192838592;1630296324452098051;UgoOsinobi;https://twitter.com/UgoOsinobi/status/1630296324452098051
Mon Feb 27 19:53:28 +0000 2023;1630295070535557129;"Ronaldo has arrived! 🇧🇷🌟 https://t.co/mfF57nUgbe";17;77;67;2534;en;3324689194;1630295070535557129;TheEuropeanLad;https://twitter.com/TheEuropeanLad/status/1630295070535557129
Mon Feb 27 19:53:27 +0000 2023;1630295063480680450;"❗  Cristiano Ronaldo could be awarded a Carabao Cup medal due to the EFL rule should Manchester United allow it. https://t.co/2jQwaKfncH";72;221;710;17290;en;2427599888;1630295063480680450;TimelineCR7;https://twitter.com/TimelineCR7/status/1630295063480680450
Mon Feb 27 19:51:32 +0000 2023;1630294580431052801;"🗣 Ronaldo: "For the next three years, us Brazilians will have to put up with it. Jokes aside, Argentina deserves to win everything." Via @TyCSports and @gastonedul. https://t.co/D2AsllMzVF";8;15;329;5680;en;382431601;1630294580431052801;RoyNemer;https://twitter.com/RoyNemer/status/1630294580431052801
Mon Feb 27 19:51:25 +0000 2023;1630294551561682952;"The time Ronaldo for win the Ballon Dor Madrid fans go push Modric cos Ronaldo leff. U people said Modric performed at the World Cup so he deserved it . Why are you crying now that they are using the same format to award Messi ahead of Benzema. You squad dey deserve am waaa";11;52;180;1827;en;1145137598379282432;1630294551561682952;gyaigyimii;https://twitter.com/gyaigyimii/status/1630294551561682952
Mon Feb 27 19:44:58 +0000 2023;1630292929771196416;"Ronaldo: “It is an act of justice that Messi has won the World Cup. I’m sure that tonight will be an Argentine night.” @gastonedul 🗣️🇦🇷 https://t.co/7DvIEaq0tP";23;25;492;6577;en;1447233497731674117;1630292929771196416;AlbicelesteTalk;https://twitter.com/AlbicelesteTalk/status/1630292929771196416
Mon Feb 27 19:44:04 +0000 2023;1630292703010340866;"Real Madrid fans are angry Benzema and Courtois are being robbed. Remember when you guys have Ronaldo’s Ballon dor to Modric just because he left to Juventus. Karma";16;73;225;2727;en;1145137598379282432;1630292703010340866;gyaigyimii;https://twitter.com/gyaigyimii/status/1630292703010340866
Mon Feb 27 19:41:36 +0000 2023;1630292082802786304;"Ronaldo Nazario: "I think Messi will win FIFA The Best award tonight because he won the World Cup, which is a very big tournament. He shone during the World Cup. He deserves the award." https://t.co/exnUx7tO9P";12;37;235;3725;en;885972982052597761;1630292082802786304;BarcaUniversal;https://twitter.com/BarcaUniversal/status/1630292082802786304
Mon Feb 27 19:38:57 +0000 2023;1630291414931087362;"Ronaldo 🗣️: "I think Messi will be crowned today because he won the World Cup and he was outstanding. He deserves the award." 🇧🇷🤝🇦🇷 https://t.co/KcUQRZXS5V";5;8;123;1346;en;1410248296199720962;1630291414931087362;TeamLeo10i;https://twitter.com/TeamLeo10i/status/1630291414931087362
Mon Feb 27 19:38:52 +0000 2023;1630291396224782336;"🚨 Ronaldo: “I think Messi will win tonight because he won the World Cup. He shined in it &amp  he will fully deserve this award.” https://t.co/Asx8RMdqU8";23;44;542;9898;en;1287288253326876673;1630291396224782336;ManagingBarca;https://twitter.com/ManagingBarca/status/1630291396224782336
Mon Feb 27 19:37:35 +0000 2023;1630291073082834944;"#FIFATHEBEST  🗣 Ronaldo Nazario: "Leo Messi will be crowned because he has an exceptional WC and won it, which is a very big tournament.. He deserves the award." https://t.co/G62OyxD4bu";6;19;271;3258;en;1422492366435389440;1630291073082834944;psg_chief;https://twitter.com/psg_chief/status/1630291073082834944
Mon Feb 27 19:34:49 +0000 2023;1630290376178425856;"Cristiano Ronaldo in training.  Happiness ♥️ https://t.co/tjFO8RNSa5";1;14;184;2750;en;1229600073295618048;1630290376178425856;CristianoXtra_;https://twitter.com/CristianoXtra_/status/1630290376178425856
Mon Feb 27 18:21:21 +0000 2023;1630271888588169216;"In 2002, Ronaldo won the Ballon d'Or. He had 10 goals and 5 assists in all competitions with Inter Milan and Real Madrid over the course of 2002, but won the WC scoring 8 times and assisting 1, no one will tell you that's rigged but when it comes to Messi.... https://t.co/OewbYxXXsu";45;78;1021;8346;en;1505804950659473409;1630271888588169216;MagicalXavi;https://twitter.com/MagicalXavi/status/1630271888588169216
Mon Feb 27 17:59:34 +0000 2023;1630266403235463169;"Benzema understanding the kind of corruption Cristiano Ronaldo was up against all these years. https://t.co/DB7sV3FQc7";39;170;1734;14235;en;1431309811807756330;1630266403235463169;MadridPreeti;https://twitter.com/MadridPreeti/status/1630266403235463169
Mon Feb 27 17:51:26 +0000 2023;1630264358482636806;"🚨🗣FIFA President, Gianni Infantino on Cristiano Ronaldo showing up for the Ceremony: "I don't know who invited him,I didn't." @lequipe🏅 https://t.co/2exIMgvC1q";84;126;777;12379;en;1408482871266918401;1630264358482636806;LM10_BLAUGRANA;https://twitter.com/LM10_BLAUGRANA/status/1630264358482636806
Mon Feb 27 17:29:25 +0000 2023;1630258816582406147;"🚨Cristiano Ronaldo's official FIFA The Best ranking: #369 @FIFAcom🏅 https://t.co/fZj17YVj5u";485;329;1258;18055;en;1408482871266918401;1630258816582406147;LM10_BLAUGRANA;https://twitter.com/LM10_BLAUGRANA/status/1630258816582406147
Mon Feb 27 17:15:56 +0000 2023;1630255423969173511;"Crazy to think Messi went from competing against Ronaldo for the Ballon d’Or to now competing against a kid who grew up idolizing Ronaldo.  Unmatched longevity 🐐 https://t.co/DUKhfcxpIa";4;11;114;984;en;985172054;1630255423969173511;FootballFunnnys;https://twitter.com/FootballFunnnys/status/1630255423969173511
